"unitid","year","metric","value"
110060,2024,"multi_sport_ratio",1
110060,2024,"pct_athletes_overall",56.2841530054645
110060,2024,"pct_female_athletes",30.4347826086957
110060,2024,"pct_male_athletes",64.963503649635
110060,2024,"total_athletes_undup",103
110060,2024,"total_varsity_sports",4
110060,2024,"womens_varsity_sports",1
110097,2024,"female_athletes_undup",188
110097,2024,"male_athletes_undup",182
110097,2024,"mens_varsity_sports",7
110097,2024,"multi_sport_ratio",1.07027027027027
110097,2024,"pct_athletes_overall",11.6425424795469
110097,2024,"pct_female_athletes",10.1075268817204
110097,2024,"pct_male_athletes",13.8088012139605
110097,2024,"total_athletes_undup",370
110097,2024,"total_varsity_sports",16
110097,2024,"womens_varsity_sports",9
110361,2024,"female_athletes_undup",225
110361,2024,"male_athletes_undup",205
110361,2024,"mens_varsity_sports",9
110361,2024,"multi_sport_ratio",1.04186046511628
