"unitid","value","year","metric","var_type"
101879,96,2023,"acceptance_rate","raw"
101879,4398,2023,"application_volume","raw"
101879,27,2023,"pct_top10_hs","external"
101879,-3,2023,"yield_men_vs_women","computed"
101879,26,2023,"yield_rate","raw"
101879,87,2024,"acceptance_rate","raw"
101879,5052,2024,"application_volume","raw"
101879,23,2024,"pct_top10_hs","external"
101879,-1,2024,"yield_men_vs_women","computed"
101879,22,2024,"yield_rate","raw"
101912,89,2020,"acceptance_rate","raw"
101912,1135,2020,"application_volume","raw"
101912,-4,2020,"yield_men_vs_women","computed"
101912,30,2020,"yield_rate","raw"
101912,72,2021,"acceptance_rate","raw"
101912,881,2021,"application_volume","raw"
101912,-9,2021,"yield_men_vs_women","computed"
101912,45,2021,"yield_rate","raw"
101912,68,2022,"acceptance_rate","raw"
101912,1446,2022,"application_volume","raw"
101912,-15,2022,"yield_men_vs_women","computed"
101912,38,2022,"yield_rate","raw"
101912,51,2023,"acceptance_rate","raw"
101912,2370,2023,"application_volume","raw"
101912,-5,2023,"yield_men_vs_women","computed"
101912,24,2023,"yield_rate","raw"
101912,45,2024,"acceptance_rate","raw"
101912,1873,2024,"application_volume","raw"
101912,-8,2024,"yield_men_vs_women","computed"
101912,30,2024,"yield_rate","raw"
102049,84,2020,"acceptance_rate","raw"
102049,26,2020,"act_mid50","computed"
